study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias	sample_title
PRJEB24932	SAMEA104589050	ERX2351318	ERR2299981	4932	Saccharomyces cerevisiae	70dedd64cd7f53de18e093b541907d7e;d87595133a3489a7d7df7e97ad0ef7a5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2299981/ERR2299981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2299981/ERR2299981_2.fastq.gz	UFMG-CM-Y632	UFMG-CM-Y632
PRJEB24932	SAMEA104589051	ERX2351319	ERR2299982	4932	Saccharomyces cerevisiae	811642394a47e942fd1bfce7b5032cab;e884769e88d58a7440b75cb9abc442a0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2299982/ERR2299982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2299982/ERR2299982_2.fastq.gz	UFMG-CM-Y633	UFMG-CM-Y633
PRJEB24932	SAMEA104589052	ERX2351320	ERR2299983	4932	Saccharomyces cerevisiae	358d0e452f3a7d59e5481019f39fafd2;442c501ae25a2de972df113837d9380a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2299983/ERR2299983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2299983/ERR2299983_2.fastq.gz	UFMG-CM-Y634	UFMG-CM-Y634
PRJEB24932	SAMEA104589053	ERX2351321	ERR2299984	4932	Saccharomyces cerevisiae	472621470494318b978dc0974217a428;df83687cafb69e3f0299d647d3660152	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2299984/ERR2299984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2299984/ERR2299984_2.fastq.gz	UFMG-CM-Y635	UFMG-CM-Y635
PRJEB24932	SAMEA104589054	ERX2351322	ERR2299985	4932	Saccharomyces cerevisiae	aa07cd4789db4c912409b17ce9266401;c711e70424df4227a4bbfb1c9e7dde0f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2299985/ERR2299985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2299985/ERR2299985_2.fastq.gz	UFMG-CM-Y637	UFMG-CM-Y637
PRJEB24932	SAMEA104589055	ERX2351323	ERR2299986	4932	Saccharomyces cerevisiae	e0681c989cd07668688683597cbad5fb;ccfbebe5fd5d8ed0892ffcd52de4082f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2299986/ERR2299986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2299986/ERR2299986_2.fastq.gz	UFMG-CM-Y638	UFMG-CM-Y638
PRJEB24932	SAMEA104589056	ERX2351324	ERR2299987	4932	Saccharomyces cerevisiae	e8d58bf82893d1ff146f6788a6301529;44f5c224c891b9d23c1eb1a8af039e7e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2299987/ERR2299987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2299987/ERR2299987_2.fastq.gz	UFMG-CM-Y648	UFMG-CM-Y648
PRJEB24932	SAMEA104589057	ERX2351325	ERR2299988	4932	Saccharomyces cerevisiae	e7930d8dac3faaf4e51965cdb62573de;b5b563004eeb67fd3be04dd0992c1461	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2299988/ERR2299988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2299988/ERR2299988_2.fastq.gz	AP13.1	AP13.1
PRJEB24932	SAMEA104589324	ERX2351589	ERR2300252	4932	Saccharomyces cerevisiae	b3ae33f6a3ddf716858aa61976b11c18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/002/ERR2300252/ERR2300252.fastq.gz	UFMG-CM-Y623	UFMG-CM-Y223
PRJEB24932	SAMEA104589325	ERX2351590	ERR2300253	4932	Saccharomyces cerevisiae	24d9c37351b04b895b761b3c9813d4ac	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/003/ERR2300253/ERR2300253.fastq.gz	UFMG-CM-Y624	UFMG-CM-Y215
PRJEB24932	SAMEA104589326	ERX2351591	ERR2300254	4932	Saccharomyces cerevisiae	a30343bbb7b99a5e7da0396314250bf4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR230/004/ERR2300254/ERR2300254.fastq.gz	UFMG-CM-Y625	UFMG-CM-Y030
